A,B,C,D
1.0,2.0,9.18999999344349,-44.86999999403954
2.0,17.0,14.26999999165535,-29.739999998807907
3.0,37.0,19.260000001192093,-9.910000000596046
4.0,19.0,23.989999999776483,-27.789999995827674
5.0,32.0,29.210000004172326,-14.860000003576278
6.0,34.0,34.109999995231625,-12.749999989271164
7.0,22.0,39.35000000476837,-24.81000000655651
8.0,24.0,43.98999999977648,-22.780000005364418
9.0,34.0,48.99999999955296,-12.630000014305114
10.0,38.0,54.150000001788136,-8.890000004768371
11.0,21.0,59.26000000119209,-25.780000005364418
12.0,22.0,64.1999999988079,-24.94000000178814
13.0,18.0,69.12000000059605,-28.819999997019767
14.0,29.0,74.26999999165535,-18.010000000223517
15.0,38.0,79.23999999046326,-8.77
16.0,21.0,84.1899999934435,-26.000000000447034
17.0,36.0,89.0399999986589,-10.969999999254942
18.0,14.0,94.35999999523163,-32.640000004768375
19.0,37.0,100.0,-9.71999998807907
20.0,7.0,104.16000000715256,-39.760000009536746
21.0,16.0,109.13999999642373,-30.709999997615814
22.0,38.0,114.13000000596047,-8.649999995231628
23.0,11.0,119.23,-35.98000000089407
24.0,20.0,124.15000000178814,-26.92999999642372
25.0,18.0,129.23999999046325,-28.90000000268221
26.0,20.0,134.25000001072883,-26.830000002384185
27.0,20.0,139.13000000596045,-26.700000007152557
28.0,19.0,144.21000000417231,-27.92999999642372
29.0,30.0,149.12000000059604,-16.879999999403953
30.0,9.0,154.26000000119208,-37.77
31.0,8.0,159.05999999821185,-39.01000000022352
32.0,3.0,164.26999999165534,-43.73000000834465
33.0,2.0,169.25000001072883,-44.86000000357628
34.0,28.0,174.23,-18.789999995827674
35.0,32.0,179.32000000357627,-14.689999986886978
36.0,38.0,184.1399999964237,-8.709999997615814
37.0,30.0,189.1699999976158,-16.77
38.0,32.0,193.99999999955295,-14.800000001192092
39.0,33.0,199.29000000238418,-14.010000000223517
40.0,16.0,204.26999999165534,-30.919999998509883
41.0,6.0,209.01999999910592,-40.760000009536746
42.0,37.0,214.1999999988079,-9.969999999254942
43.0,1.0,219.26999999165534,-45.760000009536746
44.0,23.0,224.07000000357627,-23.830000002384185
45.0,19.0,229.28000001192092,-27.789999995827674
46.0,24.0,234.28000001192092,-22.81000000655651
47.0,16.0,239.25000001072883,-30.869999994039535
48.0,28.0,244.21000000417231,-18.98000000089407
49.0,9.0,249.23,-37.68999998688698
50.0,36.0,254.08999999940394,-10.84999999821186
51.0,21.0,259.0999999973178,-25.789999995827674
52.0,3.0,264.08000000149013,-43.800000001192096
53.0,28.0,269.3200000035763,-18.92999999642372
54.0,11.0,274.089999999404,-35.810000006556514
55.0,26.0,279.08000000149013,-20.879999999403953
56.0,37.0,284.2399999904633,-10.000000000447034
57.0,28.0,288.999999999553,-18.84999999821186
58.0,28.0,294.08000000149013,-18.919999998509883
59.0,34.0,299.13999999642374,-12.910000000596046
60.0,7.0,304.25000001072885,-39.67000000596047
61.0,32.0,309.34000001430513,-14.739999998807907
62.0,26.0,314.25000001072885,-20.98000000089407
63.0,21.0,319.0300000007451,-25.96999999925494
64.0,31.0,324.0599999982119,-15.990000000670552
65.0,16.0,329.31000001311304,-30.960000001341104
66.0,5.0,334.28000001192095,-41.849999998211864
67.0,22.0,339.2399999904633,-24.94000000178814
68.0,27.0,344.05000000029804,-19.709999997615814
69.0,11.0,349.2399999904633,-35.800000001192096
70.0,16.0,354.18000000298025,-30.64000000476837
71.0,19.0,358.98,-27.739999998807907
72.0,21.0,364.1999999988079,-25.77
73.0,15.0,369.08000000149013,-31.630000014305118
74.0,8.0,374.3699999856949,-38.70999999761582
75.0,3.0,379.0599999982119,-43.810000006556514
76.0,31.0,384.1600000071526,-15.77
77.0,7.0,389.0300000007451,-39.719999988079074
78.0,29.0,394.10999999523165,-17.749999989271164
79.0,30.0,399.3699999856949,-16.879999999403953
80.0,24.0,404.13999999642374,-22.86000000357628
81.0,39.0,409.2199999946356,-7.9699999992549415
82.0,23.0,414.25000001072885,-23.84999999821186
83.0,29.0,419.0999999973178,-17.789999995827674
84.0,32.0,424.01999999910595,-15.000000000447034
85.0,28.0,429.35999999523165,-18.96999999925494
86.0,7.0,434.2900000023842,-39.67000000596047
87.0,18.0,439.0700000035763,-28.89000000476837
88.0,29.0,444.1999999988079,-17.879999999403953
89.0,0.0,449.26999999165537,-46.849999998211864
90.0,8.0,454.2900000023842,-38.96000000134111
91.0,27.0,459.32999999403955,-20.010000000223517
92.0,11.0,464.18000000298025,-35.90000000268221
93.0,18.0,469.00999999932947,-28.869999994039535
94.0,0.0,474.1999999988079,-46.81999999701977
95.0,31.0,479.05000000029804,-15.839999992847442
96.0,9.0,483.999999999553,-37.91000000059605
97.0,10.0,489.0700000035763,-36.760000009536746
98.0,25.0,494.26999999165537,-21.64000000476837
99.0,34.0,498.999999999553,-12.659999985694885
100.0,30.0,504.28000001192095,-16.64000000476837
